CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,drug_name,CCL_name,dif_first,dif_last,sigmoid_4_param_r2,sigmoid_4_param,sigmoid_2_param_r2,sigmoid_2_param,sigmoid_3_param_r2,sigmoid_3_param,fsigmoid_r2,fsigmoid,logistic_4_param_r2,logistic_4_param,ll4_4_param_r2,ll4_4_param,ll4R_4_param_r2,ll4R_4_param,logLogist_3_param_r2,logLogist_3_param,better_fitting
SF539,905984,200,200_905984,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.97509237,0.950608795,0.8970478540000001,0.791352582,0.496540804,0.21063548899999998,0.11173829099999999,0.055023307,0.03508229,Dacinostat,SF539,0.02490762999999996,0.019941017,0.998877843370418,[  0.54585785   1.06137741 -12.07385982   0.03826132],0.9972264656807226,[0.55588085 0.09625489],0.9972978701039014,[ 5.53205534e-01 -1.03861286e+01  4.72371884e-03],0.997226468507836,[  0.55588085 -10.38908844],0.9978263718856344,[0.96689091 6.55582604 0.55358802 0.01297612],0.9978263704055272,[0.55358802 0.96689094 6.5558234  0.01297606],0.9978263749400372,[-3.87668351  0.96689096  6.55582153  0.01297602],0.9982127409685176,[-0.26194561 -3.77946761  0.05165115],sigmoid_4_param
TC-71,1240221,1149,1149_1240221,2,5.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.969429093,0.979064479,0.930002673,0.763604252,0.35711552399999996,0.14087248800000002,0.067393396,0.031422697,0.022324589,TW 37,TC-71,0.03057090699999998,0.009098108,0.9990304601383097,[  0.51332883   1.05111712 -15.33940006   0.03625355],0.9971564981491541,[0.52210987 0.0744635 ],0.9975301242200206,[ 5.17544235e-01 -1.34676305e+01  1.03507976e-02],0.9971564991480864,[  0.52210987 -13.42939703],0.9992887480307082,[0.97919938 7.81265944 0.51622925 0.02159245],0.9992887465044736,[0.51622925 0.97919937 7.81266027 0.02159246],0.9992887460435441,[-5.16576031  0.97919941  7.81265374  0.02159236],0.9981920897019224,[-0.2880783  -5.09695202  0.04280778],logistic_4_param
KARPAS-620,1327775,344,344_1327775,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9772887020000001,0.88354954,0.82174929,0.664328512,0.344562811,0.003598913,0.0030356109999999997,0.003219159,0.005211286,THZ-2-49,KARPAS-620,0.02271129799999993,0.001992127,0.991202858959412,[  0.50226265   1.02268512 -13.22895746  -0.02173372],0.9877121989506532,[0.48688618 0.08240519],0.9909304284788364,[  0.50284565 -12.51852907  -0.03190208],0.9877121970700136,[  0.48688605 -12.13507947],0.9867210298557658,[ 0.93737319  7.03075351  0.50553008 -0.03416808],0.9867210219934384,[ 0.50552994  0.93737345  7.0307347  -0.03416824],0.9867210287349438,[-4.79600551  0.93737337  7.03074114 -0.03416818],0.9913313693884014,[-0.30560283 -3.94337629 -0.01882654],logLogist_3_param
HEL,907053,179,179_907053,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.991249215,0.8945224940000001,0.691369283,0.487287839,0.279890751,0.20528418899999998,0.17600179999999999,0.145782023,0.12179441099999999,5-Fluorouracil,HEL,0.008750785000000039,0.02398761200000002,0.9985711849296646,[ 0.38008101  1.11286398 -9.5135112   0.13691485],0.9660583319796079,[0.46308526 0.14733826],0.9955107223686108,[ 0.37750019 -7.57589022  0.10597984],0.9660583268820458,[ 0.46308473 -6.78713569],0.9986957092874388,[0.99615372 3.67668497 0.4022821  0.09263479],0.9986957096807764,[0.4022821  0.99615377 3.67668312 0.09263471],0.9986957094407318,[-3.34799516  0.99615378  3.67668398  0.0926348 ],0.9977789637349664,[-0.39869384 -3.70350846  0.14928206],ll4_4_param
SF539,905984,235,235_905984,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.984999595,0.9191475159999999,0.856255309,0.406869993,0.02182648,0.005884977,0.0031745709999999997,0.00321098,0.0029156670000000003,QL-XII-47,SF539,0.015000404999999994,0.0002953129999999997,0.997950116719108,[ 4.26726562e-01  1.02674393e+00 -2.21011304e+01 -3.23741617e-03],0.9967837277054156,[0.42247098 0.04944813],0.9974491481218954,[ 4.26453843e-01 -2.05087706e+01 -1.33005000e-02],0.9967837314203788,[  0.42247106 -20.22324172],0.9965460247814424,[ 9.62563220e-01  9.65231626e+00  4.27385352e-01 -7.78319222e-03],0.9965460194900742,[ 4.27385177e-01  9.62563522e-01  9.65227687e+00 -7.78326120e-03],0.9965460217900189,[-8.20515079e+00  9.62563071e-01  9.65233502e+00 -7.78315812e-03],0.99702830385002,[-3.73094131e-01 -7.22533324e+00 -3.97817830e-03],sigmoid_4_param
PANC-02-03,1298475,303,303_1298475,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.992908398,0.886636387,0.741770895,0.6763584290000001,0.562728486,0.45984563799999995,0.45089514299999994,0.4086886,0.363833203,PIK-93,PANC-02-03,0.007091602000000029,0.04485539700000002,0.9925777651948384,[ 0.3233322   1.35154407 -5.61744525  0.35904078],0.9146017877556752,[0.71914172 0.30157576],0.988635910665195,[ 0.30282491 -3.682719    0.28896673],0.9146017825444216,[ 0.71914169 -3.31589864],0.99497211211213,[1.00902908 2.21890208 0.46435967 0.25515116],0.9949721084100708,[0.4643598  1.00902913 2.21890047 0.2551509 ],0.9949721049228886,[-1.70211297  1.00902901  2.21890411  0.25515149],0.9884485332947692,[-0.38324821 -2.59615716  0.39762355],logistic_4_param
IGR-37,1240153,1004,1004_1240153,2,0.1,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.958439809,0.992156429,0.8333898679999999,0.641566188,0.34164053200000005,0.178939758,0.11282400000000001,0.038292765,0.027926135,Vinblastine,IGR-37,0.04156019099999997,0.010366629999999998,0.9969894462338852,[  0.48609743   1.03192153 -10.43349631   0.03742855],0.9951600613116076,[0.50284134 0.10383283],0.9965895397603344,[ 0.48928471 -9.69926127  0.02207751],0.995160057778568,[ 0.50284126 -9.6308713 ],0.9977138878081936,[ 0.98578987  4.85592706  0.49554858 -0.0054617 ],0.9977138797985586,[ 0.49554857  0.98578983  4.85592978 -0.00546158],0.9977138843775096,[-3.40929764  0.98578988  4.85592728 -0.00546165],0.9957251187882684,[-0.31020474 -3.73905624  0.05540117],logistic_4_param
KMRC-1,1298168,272,272_1298168,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.99179064,0.9894036490000001,0.970159303,0.974734368,0.852163935,0.485826686,0.18154813,0.077879295,0.045351959000000004,AR-42,KMRC-1,0.008209360000000054,0.032527336000000004,0.9994776565892608,[  0.65587659   1.06233048 -16.22252724   0.0510854 ],0.9972591704149569,[0.66908051 0.07191747],0.9975197236302816,[ 6.65641909e-01 -1.39359561e+01  8.06094821e-03],0.9972591722668246,[  0.66908055 -13.90481315],0.9997003688528252,[ 0.98855995 10.36638692  0.65996806  0.03435564],0.9997003686559904,[ 0.65996806  0.98855996 10.36638604  0.03435562],0.9997003687612042,[-4.30789522  0.98855996 10.36638621  0.03435562],0.9982445936248688,[-0.180932   -4.51555558  0.06851168],logistic_4_param
HEL,907053,268,268_907053,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.97413273,0.858553892,0.6734801859999999,0.416062831,0.235300743,0.182937006,0.147464561,0.102482755,0.092501037,Sepantronium bromide,HEL,0.02586727,0.009981718,0.9985653273196046,[ 0.36876494  1.085063   -9.72273723  0.10828496],0.9758851379411208,[0.43019889 0.13393989],0.996806882731878,[ 0.36621962 -8.14231394  0.08568678],0.9758851352550696,[ 0.43019937 -7.46600023],0.9983069464532396,[0.9864051  3.67520943 0.38866973 0.06541667],0.9983069509190904,[0.38866974 0.98640504 3.67521121 0.06541673],0.9983069505890813,[-3.47317986  0.98640462  3.67522504  0.06541729],0.9978399676170316,[-0.41684148 -3.72661905  0.11876183],sigmoid_4_param
HUTU-80,907073,269,269_907073,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.965008758,0.9149944790000001,0.9198883659999999,0.8660571290000001,0.8533263590000001,0.559943086,0.035268766,-0.011154239,-0.012915796,NSC-207895,HUTU-80,0.03499124200000004,0.0017615570000000004,0.9926475650720684,[ 6.80752879e-01  1.05065777e+00 -2.48393741e+01 -2.36544658e-02],0.976445660911196,[0.66825257 0.05168952],0.991071733349034,[  0.68531438 -20.98663299  -0.05782544],0.9764456664539644,[  0.6682518  -19.34588857],0.9918024666957114,[ 0.92444496 18.42134287  0.68217848 -0.02332093],0.9918024675695328,[ 0.68217847  0.92444506 18.42127326 -0.02332111],0.9918024682109776,[-7.04549272  0.92444499 18.42132478 -0.02332098],0.9840480628967196,[-0.17061608 -4.28313711 -0.03449374],sigmoid_4_param
